"genes.int.h"	"round.resLRT.i.h.padj.which.resLRT.i.h.padj...1e.04....digits...20."
"5"	"Sobic.001G313100.v2.1"	3.136e-17
"39"	"Sobic.005G165800.v2.1"	3.0323879e-13
"2"	"Sobic.001G142800.v2.1"	6.4435752e-13
"26"	"Sobic.003G203600.v2.1"	1.46746872e-12
"57"	"Sobic.009G199600.v2.1"	1.5387011538e-10
"34"	"Sobic.004G223500.v2.1"	1.67195694472e-09
"46"	"Sobic.006G201700.v2.1"	1.985102531507e-08
"4"	"Sobic.001G218500.v2.1"	2.951571254245e-08
"33"	"Sobic.004G223400.v2.1"	5.356133389585e-08
"49"	"Sobic.007G131000.v2.1"	2.3573532339721e-07
"13"	"Sobic.002G107800.v2.1"	3.187860181865e-07
"55"	"Sobic.009G129300.v2.1"	6.4269594197458e-07
"16"	"Sobic.002G176500.v2.1"	1.07307330952381e-06
"47"	"Sobic.006G215400.v2.1"	1.50780857166901e-06
"28"	"Sobic.003G251700.v2.1"	2.57941964899282e-06
"27"	"Sobic.003G237600.v2.1"	2.80602477339941e-06
"45"	"Sobic.006G146000.v2.1"	2.80602477339941e-06
"48"	"Sobic.006G260300.v2.1"	3.22113739923494e-06
"35"	"Sobic.004G269100.v2.1"	3.75273470773396e-06
"17"	"Sobic.002G176700.v2.1"	4.55947588601431e-06
"24"	"Sobic.003G003800.v2.1"	6.03195804332716e-06
"59"	"Sobic.010G015800.v2.1"	7.55076359314499e-06
"21"	"Sobic.002G387000.v2.1"	1.56940690385835e-05
"53"	"Sobic.009G081500.v2.1"	1.56940690385835e-05
"42"	"Sobic.006G055400.v2.1"	1.68082858537838e-05
"60"	"Sobic.010G134000.v2.1"	1.71320276044878e-05
"52"	"Sobic.009G062900.v2.1"	1.76361868804845e-05
"61"	"Sobic.010G178800.v2.1"	1.76361868804845e-05
"1"	"Sobic.001G142200.v2.1"	1.78267256145873e-05
"54"	"Sobic.009G122000.v2.1"	1.78267256145873e-05
"32"	"Sobic.004G189900.v2.1"	2.0198251486219e-05
"56"	"Sobic.009G190500.v2.1"	2.0198251486219e-05
"40"	"Sobic.005G169200.v2.1"	2.38156754534027e-05
"41"	"Sobic.006G021900.v2.1"	2.55083598974128e-05
"37"	"Sobic.004G347500.v2.1"	2.55118786009851e-05
"38"	"Sobic.005G152200.v2.1"	2.55118786009851e-05
"19"	"Sobic.002G237900.v2.1"	2.80656515089146e-05
"31"	"Sobic.004G166700.v2.1"	2.80656515089146e-05
"51"	"Sobic.008G147900.v2.1"	2.80656515089146e-05
"7"	"Sobic.001G368600.v2.1"	3.60883099947499e-05
"25"	"Sobic.003G073700.v2.1"	3.60883099947499e-05
"44"	"Sobic.006G132300.v2.1"	4.00167993031291e-05
"29"	"Sobic.003G302100.v2.1"	4.32177860065957e-05
"22"	"Sobic.002G405400.v2.1"	4.47936348516074e-05
"12"	"Sobic.002G090500.v2.1"	4.68262025267253e-05
"30"	"Sobic.003G371100.v2.1"	4.83192052000144e-05
"10"	"Sobic.001G543500.v2.1"	4.85754585240332e-05
"58"	"Sobic.009G255100.v2.1"	6.36227304331325e-05
"18"	"Sobic.002G218100.v2.1"	6.48755214557091e-05
"23"	"Sobic.002G416700.v2.1"	6.5951812110089e-05
"50"	"Sobic.007G208700.v2.1"	6.5951812110089e-05
"8"	"Sobic.001G391400.v2.1"	7.23125875639067e-05
"20"	"Sobic.002G321300.v2.1"	7.60340565538563e-05
"9"	"Sobic.001G511000.v2.1"	8.24074394474509e-05
"6"	"Sobic.001G326900.v2.1"	8.82305259320052e-05
"14"	"Sobic.002G107900.v2.1"	8.82305259320052e-05
"15"	"Sobic.002G165400.v2.1"	8.82305259320052e-05
"36"	"Sobic.004G299600.v2.1"	8.82305259320052e-05
"43"	"Sobic.006G116000.v2.1"	8.82305259320052e-05
"3"	"Sobic.001G184300.v2.1"	9.29545187377381e-05
"11"	"Sobic.002G020700.v2.1"	9.55329771532396e-05
