"genes.int.h.s"	"round.resLRT.h.s.i.padj.which.resLRT.h.s.i.padj...1e.04....digits...20."
"5"	"Sobic.001G313100.v2.1"	1.3e-17
"38"	"Sobic.005G165800.v2.1"	5.0288678e-13
"2"	"Sobic.001G142800.v2.1"	3.63223538e-12
"25"	"Sobic.003G203600.v2.1"	5.76056835e-12
"34"	"Sobic.004G223500.v2.1"	4.863433353e-11
"60"	"Sobic.009G199600.v2.1"	8.3260666037e-10
"33"	"Sobic.004G223400.v2.1"	1.233032449674e-08
"45"	"Sobic.006G201700.v2.1"	1.233032449674e-08
"4"	"Sobic.001G218500.v2.1"	2.318138179323e-08
"48"	"Sobic.007G131000.v2.1"	1.6023329296046e-07
"43"	"Sobic.006G146000.v2.1"	4.123516050621e-07
"32"	"Sobic.004G189900.v2.1"	4.3644710821316e-07
"10"	"Sobic.002G107800.v2.1"	1.03399988576433e-06
"27"	"Sobic.003G251700.v2.1"	1.76385577429625e-06
"51"	"Sobic.007G215600.v2.1"	1.76385577429625e-06
"13"	"Sobic.002G176500.v2.1"	1.82148584116855e-06
"26"	"Sobic.003G237600.v2.1"	1.82148584116855e-06
"44"	"Sobic.006G195800.v2.1"	1.82148584116855e-06
"58"	"Sobic.009G129300.v2.1"	1.82148584116855e-06
"46"	"Sobic.006G215400.v2.1"	2.43675408272194e-06
"47"	"Sobic.006G260300.v2.1"	4.1982351636703e-06
"62"	"Sobic.010G045400.v2.1"	5.06025577850183e-06
"41"	"Sobic.006G055400.v2.1"	6.91766940780417e-06
"35"	"Sobic.004G269100.v2.1"	7.00196425839209e-06
"54"	"Sobic.009G062900.v2.1"	7.52897508249153e-06
"50"	"Sobic.007G208700.v2.1"	8.2965697813774e-06
"14"	"Sobic.002G176700.v2.1"	8.51206879016941e-06
"22"	"Sobic.003G003800.v2.1"	9.83311457224361e-06
"1"	"Sobic.001G142200.v2.1"	1.29219501394656e-05
"61"	"Sobic.010G015800.v2.1"	1.34533886094225e-05
"18"	"Sobic.002G387000.v2.1"	1.6585029564264e-05
"24"	"Sobic.003G082000.v2.1"	1.82743403444946e-05
"16"	"Sobic.002G237900.v2.1"	1.84002733121523e-05
"15"	"Sobic.002G218100.v2.1"	2.07248879186683e-05
"29"	"Sobic.003G302100.v2.1"	2.57684930872295e-05
"39"	"Sobic.005G169200.v2.1"	2.57684930872295e-05
"55"	"Sobic.009G081500.v2.1"	2.68328380390552e-05
"63"	"Sobic.010G134000.v2.1"	2.74941573008805e-05
"19"	"Sobic.002G393100.v2.1"	2.78981505774304e-05
"52"	"Sobic.008G147900.v2.1"	2.84956739089816e-05
"40"	"Sobic.006G021900.v2.1"	3.63423859064839e-05
"56"	"Sobic.009G082200.v2.1"	4.35714936728095e-05
"42"	"Sobic.006G132300.v2.1"	4.70303107730251e-05
"9"	"Sobic.001G543500.v2.1"	4.94850672387102e-05
"57"	"Sobic.009G122000.v2.1"	4.96454269728932e-05
"3"	"Sobic.001G184300.v2.1"	4.96883196747022e-05
"37"	"Sobic.005G152200.v2.1"	4.98833001440779e-05
"17"	"Sobic.002G275700.v2.1"	5.2715010587601e-05
"59"	"Sobic.009G190500.v2.1"	5.38729129007068e-05
"20"	"Sobic.002G405400.v2.1"	5.48754457040566e-05
"31"	"Sobic.003G371100.v2.1"	5.48754457040566e-05
"7"	"Sobic.001G368600.v2.1"	6.31353097996758e-05
"8"	"Sobic.001G391400.v2.1"	6.31353097996758e-05
"23"	"Sobic.003G073700.v2.1"	6.31353097996758e-05
"30"	"Sobic.003G319300.v2.1"	6.31353097996758e-05
"49"	"Sobic.007G160600.v2.1"	6.90122386670137e-05
"64"	"Sobic.010G178800.v2.1"	7.07546087830843e-05
"36"	"Sobic.004G347500.v2.1"	7.39505171980457e-05
"21"	"Sobic.002G416700.v2.1"	7.49293532185514e-05
"6"	"Sobic.001G329200.v2.1"	8.27363304336666e-05
"12"	"Sobic.002G165400.v2.1"	8.48367124288418e-05
"11"	"Sobic.002G142300.v2.1"	8.67573964687185e-05
"53"	"Sobic.009G009600.v2.1"	9.68734958066675e-05
"28"	"Sobic.003G255800.v2.1"	9.95603680582161e-05
